"Prefix","CH","X10","X.","High","Artist"
"1990",7,"-",2,13,"A-Ha"
"1990",10,"-",1,13,"River City People"
"1990",10,"-",1,13,"River City People"
"1990",9,"-",1,13,"Talk Talk"
"1990",8,"-",1,13,"Dream Warriors"
"1990",9,"-",1,13,"The LA's"
"1990",8,"-",1,13,"And Why Not?"
"1990",9,"-",1,13,"Loose Ends"
"1990",8,"-",1,13,"Ram Jam"
"1990",7,"-",1,13,"Adam Ant"
"1990",6,"-",1,13,"Megadeth"
"1990",6,"-",1,13,"Tina Turner"
"1990",5,"-",1,13,"The Cure"
"1990",5,"-",1,13,"AC/DC"
"1990",5,"-",1,13,"Jive Bunny & The Mastermixers"
"1990",5,"-",1,13,"The Cure"
"1990",8,"-",1,14,"Yazoo"
"1990",8,"-",1,14,"Inspiral Carpets"
"1990",8,"-",1,14,"Tricky Disco"
"1990",7,"-",1,14,"Queen Latifah & De La Soul"
"1990",7,"-",1,14,"Bobby Brown"
"1990",7,"-",1,14,"Quireboys"
"1990",7,"-",1,14,"Technotronic ft MC Eric"
"1990",6,"-",1,14,"Big Fun & Sonia ft Gary Barnacle"
"1990",6,"-",1,14,"Caron Wheeler"
"1990",5,"-",1,14,"Cliff Richard"
"1990",4,"-",1,14,"Bros"
"1990",4,"-",1,14,"Sisters Of Mercy"
"1990",7,"-",2,15,"Phil Collins"
"1990",6,"-",2,15,"Janet Jackson"
"1990",10,"-",1,15,"Paul Simon"
"1990",8,"-",1,15,"E-Zee Possee"
"1990",7,"-",1,15,"Martika"
"1990",7,"-",1,15,"Poison"
"1990",7,"-",1,15,"Hi Tek 3 ft Ya Kid K"
"1990",7,"-",1,15,"Sting"
"1990",6,"-",1,15,"Bob Geldof"
"1990",9,"-",2,16,"Primal Scream"
"1990",8,"-",2,16,"Dream Warriors"
"1990",7,"-",2,16,"Status Quo"
"1990",9,"-",1,16,"Megabass"
"1990",7,"-",1,16,"Sonia"
"1990",7,"-",1,16,"Natalie Cole"
"1990",7,"-",1,16,"Innocence"
"1990",6,"-",1,16,"Lil' Louis & The World"
"1990",6,"-",1,16,"Depeche Mode"
"1990",5,"-",1,16,"Black Box"
"1990",7,"-",2,17,"Gino Latino"
"1990",10,"-",1,17,"Twenty4Seven ft Captain Hollywood"
"1990",10,"-",1,17,"Dimples D"
"1990",7,"-",1,17,"Janet Jackson"
"1990",7,"-",1,17,"B-52's"
"1990",7,"-",1,17,"Orbital"
"1990",6,"-",1,17,"Stranglers"
"1990",6,"-",1,17,"Depeche Mode"
"1990",10,"-",1,18,"Go West"
"1990",7,"-",1,18,"Roxette"
"1990",7,"-",1,18,"MC Tunes vs 808 State"
"1990",7,"-",1,18,"Sonia"
"1990",6,"-",1,18,"Shakin' Stevens"
"1990",7,"-",1,18,"Bombalurina ft Timmy Mallett"
"1990",5,"-",1,18,"Jason Donovan"
"1990",5,"-",1,18,"Bruce Dickinson"
"1990",4,"-",1,18,"Public Enemy"
"1990",2,"-",1,18,"Morrissey"
"1990",7,"-",2,19,"Jam Tronik"
"1990",8,"-",1,19,"Jesus Jones"
"1990",11,"-",1,19,"Bell Biv Devoe"
"1990",8,"-",1,19,"Aztec Camera With Mick Jones"
"1990",7,"-",1,19,"The Beloved"
"1990",6,"-",1,19,"Craig McLachlan & Check 1-2"
"1990",4,"-",1,19,"Shakin' Stevens"
"1990",5,"-",1,19,"Jive Bunny"
"1990",4,"-",2,20,"Wonder Stuff"
"1990",7,"-",1,20,"Tongue 'N' Cheek"
"1990",6,"-",1,20,"Rebel M C"
"1990",7,"-",1,20,"Janet Jackson"
"1990",6,"-",1,20,"D-Shake"
"1990",6,"-",1,20,"D-Shake"
"1990",5,"-",1,20,"Aerosmith"
"1990",5,"-",1,20,"Yazz"
"1990",8,"-",1,20,"Pet Shop Boys"
"1990",5,"-",1,20,"Janet Jackson"
"1990",4,"-",1,20,"House Of Love"
"1990",4,"-",1,20,"Duran Duran"
"1990",4,"-",1,20,"The Stone Roses"
"1990",6,"-",2,21,"Paul Young"
"1990",8,"-",1,21,"INXS"
"1990",7,"-",1,21,"Quincy Jones ft Ray Charles & Chaka Khan"
"1990",6,"-",1,21,"Diana Ross"
"1990",6,"-",1,21,"Double Trouble ft Janette Sewell & Carl Brown"
"1990",6,"-",1,21,"Big Fun"
"1990",6,"-",1,21,"Del Amitri"
"1990",5,"-",1,21,"Deacon Blue"
"1990",5,"-",1,21,"Paula Abdul"
"1990",4,"-",1,21,"Inspiral Carpets"
"1990",3,"-",1,21,"Little Angels"
"1990",5,"-",2,22,"Pasadenas"
"1990",8,"-",1,22,"Jane Child"
"1990",7,"-",1,22,"Lindy Layton ft Janet Kay"
"1990",6,"-",1,22,"Jason Donovan"
"1990",6,"-",1,22,"Pat & Mick"
"1990",5,"-",1,22,"The Stone Roses"
"1990",5,"-",1,22,"The Stone Roses"
"1990",5,"-",1,22,"Public Image Limited"
"1990",7,"-",1,22,"Soul II Soul ft Kym Mazelle"
"1990",6,"-",2,23,"Faith No More"
"1990",5,"-",2,23,"Electribe 101"
"1990",8,"-",1,23,"Sam Brown"
"1990",6,"-",1,23,"Gloria Estefan"
"1990",7,"-",1,23,"Hothouse Flowers"
"1990",6,"-",1,23,"Talk Talk"
"1990",5,"-",1,23,"Bruce Dickinson"
"1990",5,"-",1,23,"George Michael"
"1990",6,"-",1,23,"Eurythmics"
"1990",6,"-",2,24,"Chris Rea"
"1990",6,"-",1,24,"Quireboys"
"1990",6,"-",1,24,"The Chimes"
"1990",6,"-",1,24,"Aswad"
"1990",6,"-",1,24,"Sinitta"
"1990",6,"-",1,24,"The Cure"
"1990",3,"-",1,24,"Megadeth"
"1990",3,"-",1,24,"Wedding Present"
"1990",9,"-",1,25,"Faith No More"
"1990",8,"-",1,25,"Betty Boo"
"1990",11,"-",1,25,"Massivo ft Tracy"
"1990",6,"-",1,25,"Innocence"
"1990",7,"-",1,25,"Eric Clapton"
"1990",6,"-",1,25,"Paul Young"
"1990",7,"-",1,25,"Deee-Lite"
"1990",7,"-",1,25,"Deee-Lite"
"1990",5,"-",1,25,"Carpenters"
"1990",5,"-",1,25,"Carpenters"
"1990",5,"-",1,25,"Neneh Cherry"
"1990",4,"-",1,25,"Fish"
"1990",4,"-",1,25,"Lisa Stansfield"
"1990",4,"-",1,25,"Thunder"
"1990",4,"-",1,25,"Wedding Present"
"1990",6,"-",1,26,"Primal Scream"
"1990",6,"-",1,26,"Jimmy Somerville"
"1990",5,"-",1,26,"Soup Dragons"
"1990",5,"-",1,26,"N.W.A."
"1990",4,"-",1,26,"Guru Josh"
"1990",4,"-",1,26,"Prince"
"1990",5,"-",1,26,"Phil Collins"
"1990",6,"-",2,27,"Jamie J Morgan"
"1990",4,"-",2,27,"Mission"
"1990",6,"-",1,27,"Inspiral Carpets"
"1990",5,"-",1,27,"Movement 98 ft Carroll Thompson"
"1990",4,"-",1,27,"Bananarama"
"1990",4,"-",1,27,"Magnum"
"1990",5,"-",2,28,"BBG ft Dina Taylor"
"1990",4,"-",2,28,"Pop Will Eat Itself"
"1990",6,"-",1,28,"George Michael"
"1990",4,"-",1,28,"David Bowie"
"1990",4,"-",1,28,"Tina Turner"
"1990",3,"-",1,28,"Pixies"
"1990",2,"-",1,28,"Mission"
"1990",7,"-",1,29,"Wrecks-N-Effect"
"1990",6,"-",1,29,"ZZ Top"
"1990",5,"-",1,29,"Jon Bon Jovi"
"1990",5,"-",1,29,"Human League"
"1990",5,"-",1,29,"Adventures Of Stevie V"
"1990",5,"-",1,29,"Unique Three"
"1990",5,"-",1,29,"Unique Three"
"1990",5,"-",1,29,"Eurythmics"
"1990",5,"-",1,29,"Kid Creole & The Coconuts"
"1990",4,"-",1,29,"Marc Almond"
"1990",3,"-",1,29,"Paul McCartney"
"1990",3,"-",1,29,"Red Hot Chili Peppers"
"1990",2,"-",1,29,"Anthrax"
"1990",5,"-",1,30,"Hothouse Flowers"
"1990",5,"-",1,30,"Raze ft Lady K & Secretary Of Entertainment"
"1990",4,"-",1,30,"Wet Wet Wet"
"1990",4,"-",1,30,"Wet Wet Wet"
"1990",4,"-",1,30,"Criminal Element Orchestra & Wendell Williams"
"1990",3,"-",1,30,"Fish"
"1990",7,"-",1,31,"Neneh Cherry"
"1990",7,"-",1,31,"Gary Moore"
"1990",6,"-",1,31,"Tina Turner"
"1990",5,"-",1,31,"Blue Pearl"
"1990",5,"-",1,31,"Rolling Stones"
"1990",4,"-",1,31,"Whitesnake"
"1990",4,"-",1,31,"Wet Wet Wet"
"1990",4,"-",1,31,"Jesus Jones"
"1990",6,"-",1,31,"Monie Love"
"1990",5,"-",1,31,"Sinéad O'Connor"
"1990",3,"-",1,31,"49ers"
"1990",2,"-",1,31,"Aretha Franklin"
"1990",4,"-",2,32,"S-Express"
"1990",4,"-",2,32,"James"
"1990",4,"-",1,32,"Thunder"
"1990",3,"-",1,32,"Northside"
"1990",3,"-",1,32,"James"
"1990",3,"-",1,32,"Mission"
"1990",3,"-",1,32,"Ride"
"1990",2,"-",1,32,"Pop Will Eat Itself"
"1990",3,"-",1,32,"Birdland"
"1990",2,"-",1,32,"Paul McCartney"
"1990",6,"-",2,33,"Kym Mazelle"
"1990",6,"-",1,33,"Jungle Brothers"
"1990",6,"-",1,33,"Emma"
"1990",4,"-",1,33,"Gun"
"1990",4,"-",1,33,"Mica Paris with Rakim"
"1990",4,"-",1,33,"Elton John"
"1990",8,"-",1,34,"D N A"
"1990",4,"-",1,34,"Little Angels & The Big Bad Horns"
"1990",4,"-",1,34,"Janet Jackson"
"1990",4,"-",1,34,"Billy Idol"
"1990",3,"-",1,34,"Ride"
"1990",3,"-",1,34,"Thunder"
"1990",3,"-",1,34,"New Model Army"
"1990",2,"-",1,34,"Marillion"
"1990",3,"-",1,34,"The Stone Roses"
"1990",3,"-",1,34,"Phil Collins"
"1990",2,"-",1,34,"All About Eve"
"1990",5,"-",2,35,"Jungle Brothers"
"1990",4,"-",1,35,"Poison"
"1990",6,"-",1,35,"UB40"
"1990",5,"-",1,35,"Paul McCartney"
"1990",3,"-",1,35,"Whitesnake"
"1990",3,"-",1,35,"The Cramps"
"1990",3,"-",1,35,"Vixen"
"1990",4,"-",2,36,"Tears For Fears"
"1990",5,"-",1,36,"Wilson Phillips"
"1990",6,"-",1,36,"Del Amitri"
"1990",5,"-",1,36,"Propaganda"
"1990",4,"-",1,36,"Skid Row"
"1990",4,"-",1,36,"House Of Love"
"1990",3,"-",1,36,"Dogs D'Amour"
"1990",3,"-",1,36,"Thunder"
"1990",3,"-",1,36,"AC/DC"
"1990",8,"-",2,37,"Mariah Carey"
"1990",7,"-",1,37,"Innocence"
"1990",5,"-",1,37,"Tongue 'N' Cheek"
"1990",4,"-",1,37,"Quireboys"
"1990",4,"-",1,37,"Quireboys"
"1990",4,"-",1,37,"Sisters Of Mercy"
"1990",5,"-",1,37,"Innocence"
"1990",1,"-",1,37,"Fields Of The Nephilim"
"1990",6,"-",1,38,"Renegade Soundwave"
"1990",6,"-",1,38,"Dusty Springfield"
"1990",3,"-",1,38,"Cocteau Twins"
"1990",3,"-",1,38,"N.W.A."
"1990",3,"-",1,38,"Kate Bush"
"1990",3,"-",1,38,"Richard Marx"
"1990",5,"-",1,38,"Nightmares On Wax"
"1990",5,"-",1,38,"Nightmares On Wax"
"1990",5,"-",1,38,"James"
"1990",3,"-",2,39,"Motley Crüe"
"1990",6,"-",1,39,"Diana Brown & Barrie K Sharpe"
"1990",4,"-",1,39,"Lenny Kravitz"
"1990",3,"-",1,39,"The Beloved"
"1990",6,"-",1,39,"World Party"
"1990",4,"-",1,39,"Dan Reed Network"
"1990",7,"-",1,39,"Dan Reed Network"
"1990",3,"-",1,39,"And Why Not?"
"1990",6,"-",1,40,"Salt-N-Pepa"
"1990",5,"-",1,40,"Belinda Carlisle"
"1990",4,"-",1,40,"Caron Wheeler"
"1990",4,"-",1,40,"Plus One ft Sirron"
"1990",4,"-",1,40,"Loose Ends"
"1990",3,"-",1,40,"River City People"
"1990",4,"-",2,41,"Maxi Priest ft Jazzie B"
"1990",4,"-",2,41,"Belinda Carlisle"
"1990",4,"-",1,41,"LL Cool J"
"1990",4,"-",1,41,"LL Cool J"
"1990",4,"-",1,41,"Mr Lee"
"1990",4,"-",1,41,"Grand Plaz"
"1990",3,"-",1,41,"Faith No More"
"1990",3,"-",1,41,"Unique Three ft Karin"
"1990",3,"-",1,41,"Public Enemy"
"1990",3,"-",1,41,"Big Country"
"1990",3,"-",1,41,"Rob 'N' Raz ft Leila K"
"1990",3,"-",1,41,"Liza Minnelli"
"1990",3,"-",1,41,"My Bloody Valentine"
"1990",2,"-",1,41,"Vixen"
"1990",5,"-",3,42,"Shamen"
"1990",4,"-",2,42,"Sinéad O'Connor"
"1990",5,"-",1,42,"History ft Q-Tee"
"1990",5,"-",1,42,"World Of Twist"
"1990",4,"-",1,42,"The Cult"
"1990",4,"-",1,42,"Inner City"
"1990",4,"-",1,42,"Lloyd Cole"
"1990",4,"-",1,42,"Kim Wilde"
"1990",4,"-",1,42,"Technotronic ft Melissa & Einstein"
"1990",4,"-",1,42,"Aerosmith"
"1990",3,"-",1,42,"Wilson Phillips"
"1990",6,"-",1,43,"The Beautiful South"
"1990",5,"-",1,43,"Taylor Dayne"
"1990",5,"-",1,43,"Cher"
"1990",4,"-",1,43,"Halo James"
"1990",4,"-",1,43,"Del Amitri"
"1990",3,"-",1,43,"Boo-Yaa T.R.I.B.E."
"1990",3,"-",1,43,"Luther Vandross"
"1990",5,"-",1,44,"A-Ha"
"1990",5,"-",1,44,"Wendy & Lisa"
"1990",5,"-",1,44,"Sydney Youngblood"
"1990",5,"-",1,44,"Seiko & Donnie Wahlberg"
"1990",5,"-",1,44,"Michael Bolton"
"1990",4,"-",1,44,"Sam Brown"
"1990",4,"-",1,44,"En Vogue"
"1990",4,"-",1,44,"Laid Back"
"1990",3,"-",1,44,"Big Daddy Kane"
"1990",2,"-",1,44,"Great White"
"1990",2,"-",1,44,"Traveling Wilburys"
"1990",6,"-",1,45,"Silver Bullet"
"1990",5,"-",1,45,"Bette Midler"
"1990",5,"-",1,45,"Black Crowes"
"1990",3,"-",1,45,"Donna Summer"
"1990",3,"-",1,45,"Dan Reed Network"
"1990",3,"-",1,45,"Dan Reed Network"
"1990",3,"-",1,45,"Robert Plant"
"1990",3,"-",1,45,"Scottish World Cup Squad"
"1990",2,"-",1,45,"Marc Almond"
"1990",2,"-",1,45,"Bruce Dickinson"
"1990",6,"-",1,46,"Scientist"
"1990",5,"-",1,46,"The Stone Roses"
"1990",5,"-",1,46,"An Emotional Fish"
"1990",4,"-",1,46,"The Beloved"
"1990",4,"-",1,46,"Little Angels"
"1990",3,"-",1,46,"UB40"
"1990",3,"-",1,46,"Monie Love"
"1990",3,"-",1,46,"Fine Young Cannibals"
"1990",3,"-",1,46,"Paula Abdul"
"1990",3,"-",1,46,"Orbital"
"1990",3,"-",1,46,"Happy Mondays & Karl Denver"
"1990",3,"-",1,46,"Touch Of Soul"
"1990",2,"-",1,46,"Jesus & Mary Chain"
"1990",2,"-",1,46,"Public Enemy"
"1990",2,"-",1,46,"Adamski"
"1990",2,"-",1,46,"Aerosmith"
"1990",3,"-",2,47,"Heart"
"1990",4,"-",1,47,"Kicking Back with Taxman"
"1990",4,"-",1,47,"Billy Idol"
"1990",3,"-",1,47,"Elton John"
"1990",3,"-",1,47,"Elton John"
"1990",3,"-",1,47,"A Tribe Called Quest"
"1990",2,"-",1,47,"UB40"
"1990",2,"-",1,47,"Adam Ant"
"1990",2,"-",1,47,"Lush"
"1990",1,"-",1,47,"Birdland"
"1990",3,"-",2,48,"D Mob & Cathy Dennis"
"1990",5,"-",1,48,"Gary Moore"
"1990",4,"-",1,48,"Will Downing"
"1990",3,"-",1,48,"Tack Head"
"1990",3,"-",1,48,"The Chimes"
"1990",3,"-",1,48,"Duran Duran"
"1990",3,"-",1,48,"The Alarm"
"1990",3,"-",1,48,"Curtis Mayfield with Ice-T"
"1990",3,"-",1,48,"The Beloved"
"1990",3,"-",1,48,"Gary Moore & Albert King"
"1990",3,"-",1,48,"Blur"
"1990",3,"-",1,48,"Run D M C"
"1990",2,"-",1,48,"Lonnie Gordon"
"1990",2,"-",1,48,"Kym Mazelle"
"1990",5,"-",2,49,"Gloria Estefan"
"1990",5,"-",1,49,"Xpansions"
"1990",4,"-",1,49,"That Petrol Emotion"
"1990",4,"-",1,49,"M C Wildski"
"1990",2,"-",1,49,"Latino Rave"
"1990",2,"-",1,49,"Magnum"
"1990",2,"-",1,49,"The Chimes"
"1990",2,"-",1,49,"Runrig"
"1990",5,"-",1,50,"Northside"
"1990",5,"-",1,50,"Northside"
"1990",5,"-",1,50,"Tony! Toni! Tone!"
"1990",4,"-",1,50,"Nick Kamen"
"1990",3,"-",1,50,"Electribe 101"
"1990",3,"-",1,50,"L A Mix"
"1990",3,"-",1,50,"Gun"
"1990",3,"-",1,50,"Prefab Sprout"
"1990",3,"-",1,50,"Craig McLachlan & Check 1-2"
"1990",2,"-",1,50,"The Almighty"
"1990",2,"-",1,50,"Crystal Palace FC & The Fab Four"
"1990",2,"-",1,50,"Crystal Palace FC & The Fab Four"
"1990",2,"-",1,50,"Mica Paris"
"1990",2,"-",1,50,"Big Country"
"1990",4,"-",1,51,"Iggy Pop"
"1990",4,"-",1,51,"Electra"
"1990",4,"-",1,51,"Electra"
"1990",3,"-",1,51,"Prefab Sprout"
"1990",3,"-",1,51,"Kim Wilde"
"1990",3,"-",1,51,"Beats International"
"1990",3,"-",1,51,"Frazier Chorus"
"1990",3,"-",1,51,"Dan Reed Network"
"1990",2,"-",1,51,"Jazzi P"
"1990",2,"-",1,51,"Ragga Twins"
"1990",2,"-",1,51,"Ragga Twins"
"1990",2,"-",1,51,"Ned's Atomic Dustbin"
"1990",3,"-",2,52,"Jimi Hendrix"
"1990",5,"-",1,52,"Oleta Adams"
"1990",5,"-",1,52,"Londonbeat"
"1990",4,"-",1,52,"Cool Down Zone"
"1990",4,"-",1,52,"Energy Orchard"
"1990",3,"-",1,52,"Tanita Tikaram"
"1990",3,"-",1,52,"Frazier Chorus"
"1990",3,"-",1,52,"Horse"
"1990",2,"-",1,52,"Deskee"
"1990",2,"-",1,52,"Goodbye Mr Mackenzie"
"1990",2,"-",1,52,"Coldcut ft Queen Latifah"
"1990",5,"-",2,53,"Age Of Chance"
"1990",5,"-",1,53,"Zoe"
"1990",4,"-",1,53,"Gerry Rafferty"
"1990",4,"-",1,53,"High"
"1990",3,"-",1,53,"Was (Not Was)"
"1990",3,"-",1,53,"Eric Clapton"
"1990",3,"-",1,53,"Tommy Page"
"1990",3,"-",1,53,"Fleetwood Mac"
"1990",3,"-",1,53,"Max Q"
"1990",3,"-",1,53,"Faith Hope & Charity"
"1990",2,"-",1,53,"Rebel M C"
"1990",2,"-",1,53,"Brother Beyond"
"1990",2,"-",1,53,"Aswad ft Sweetie Irie"
"1990",2,"-",1,53,"Ned's Atomic Dustbin"
"1990",2,"-",1,53,"Public Enemy"
"1990",6,"-",1,54,"Red Hot Chili Peppers"
"1990",4,"-",1,54,"Kicking Back ft Taxman"
"1990",4,"-",1,54,"Flowered Up"
"1990",3,"-",1,54,"Nelson"
"1990",3,"-",1,54,"Young MC"
"1990",3,"-",1,54,"After 7"
"1990",2,"-",1,54,"Five Star"
"1990",2,"-",1,54,"The Alarm"
"1990",2,"-",1,54,"Timmy Thomas"
"1990",2,"-",1,54,"Junior Tucker"
"1990",2,"-",1,54,"Everything But The Girl"
"1990",2,"-",1,54,"Richard Marx"
"1990",1,"-",1,54,"Fields Of The Nephilim"
"1990",1,"-",1,54,"Bruno & Liz & The Radio 1 DJ Possee"
"1990",1,"-",1,54,"Mark Shaw"
"1990",3,"-",2,55,"A Way Of Life"
"1990",4,"-",1,55,"Shamen"
"1990",3,"-",1,55,"Culture Beat ft Jo Van Nelson"
"1990",3,"-",1,55,"Intelligent Hoodlum"
"1990",3,"-",1,55,"Cher"
"1990",3,"-",1,55,"Awesome 3"
"1990",3,"-",1,55,"Terence Trent D'Arby"
"1990",3,"-",1,55,"A Certain Ratio"
"1990",2,"-",1,55,"Cherrelle with Alexander O'Neal"
"1990",2,"-",1,55,"Cabaret Voltaire"
